repo,stars,forks,pull_requests,pScore,pScore_normalized,popular,s_num_nodes,s_weighted_mean_degree,s_num_component,s_avg_clustering_coef,s_largest_component,s_graph_density,t_num_dev_nodes,t_num_file_nodes,t_num_dev_per_file,t_num_file_per_dev,t_graph_density,proj_name,month,st_num_dev,t_net_overlap,s_net_overlap
manifoldcf,77,64,30,1041,0.0125844706906347,1,12,19.666666666666668,2,0.1722222222222222,9,0.1818181818181818,1,86,1.0,86.0,1.0,manifoldcf,3,1,0.1875,0.08
manifoldcf,77,64,30,1041,0.0125844706906347,1,10,11.2,2,0.0,8,0.1777777777777777,1,35,1.0,35.0,1.0,manifoldcf,4,0,0.1322314049586777,0.1
manifoldcf,77,64,30,1041,0.0125844706906347,1,16,35.25,2,0.2986111111111111,11,0.15,1,73,1.0,73.0,1.0,manifoldcf,5,0,0.1481481481481481,0.1923076923076923
manifoldcf,77,64,30,1041,0.0125844706906347,1,15,20.266666666666666,1,0.1348148148148148,15,0.1428571428571428,1,54,1.0,54.0,1.0,manifoldcf,6,0,0.1889763779527559,0.1515151515151515
manifoldcf,77,64,30,1041,0.0125844706906347,1,18,34.22222222222222,2,0.4522486772486772,13,0.2287581699346405,1,110,1.0,110.0,1.0,manifoldcf,7,1,0.0792682926829268,0.1
manifoldcf,77,64,30,1041,0.0125844706906347,1,19,31.789473684210527,1,0.1921727395411606,19,0.1286549707602339,1,38,1.0,38.0,1.0,manifoldcf,8,1,0.0945945945945946,0.1578947368421052
manifoldcf,77,64,30,1041,0.0125844706906347,1,17,12.235294117647058,2,0.2789915966386554,9,0.1397058823529411,2,86,1.069767441860465,46.0,0.5348837209302325,manifoldcf,9,2,0.1307692307692307,0.1707317073170731
manifoldcf,77,64,30,1041,0.0125844706906347,1,8,21.0,2,0.1875,6,0.25,1,18,1.0,18.0,1.0,manifoldcf,10,1,0.0363636363636363,0.1153846153846153
manifoldcf,77,64,30,1041,0.0125844706906347,1,5,38.4,1,0.4333333333333334,5,0.5,1,23,1.0,23.0,1.0,manifoldcf,11,1,0.0975609756097561,0.25
manifoldcf,77,64,30,1041,0.0125844706906347,1,12,15.0,2,0.2896825396825397,8,0.1969696969696969,1,41,1.0,41.0,1.0,manifoldcf,12,1,0.109375,0.1666666666666666
manifoldcf,77,64,30,1041,0.0125844706906347,1,13,12.0,2,0.0,10,0.141025641025641,1,10,1.0,10.0,1.0,manifoldcf,13,1,0.0784313725490196,0.1666666666666666
manifoldcf,77,64,30,1041,0.0125844706906347,1,10,28.8,1,0.2047619047619047,10,0.2222222222222222,1,33,1.0,33.0,1.0,manifoldcf,14,1,0.0465116279069767,0.0952380952380952
manifoldcf,77,64,30,1041,0.0125844706906347,1,17,20.705882352941178,2,0.0,12,0.1102941176470588,1,29,1.0,29.0,1.0,manifoldcf,15,1,0.0161290322580645,0.24
manifoldcf,77,64,30,1041,0.0125844706906347,1,18,25.77777777777778,2,0.2856902356902357,13,0.1372549019607843,1,30,1.0,30.0,1.0,manifoldcf,16,1,0.0677966101694915,0.25
manifoldcf,77,64,30,1041,0.0125844706906347,1,15,16.266666666666666,2,0.0,11,0.1238095238095238,2,77,1.0,38.5,0.5,manifoldcf,17,2,0.1775700934579439,0.1764705882352941
manifoldcf,77,64,30,1041,0.0125844706906347,1,17,32.705882352941174,2,0.1803921568627451,12,0.1323529411764706,2,65,1.0,32.5,0.5,manifoldcf,18,2,0.0845070422535211,0.1612903225806451
manifoldcf,77,64,30,1041,0.0125844706906347,1,16,25.0,3,0.0855654761904761,10,0.1166666666666666,1,91,1.0,91.0,1.0,manifoldcf,19,1,0.1089743589743589,0.125
manifoldcf,77,64,30,1041,0.0125844706906347,1,29,15.172413793103448,1,0.1412051549982584,29,0.083743842364532,2,25,1.0,12.5,0.5,manifoldcf,20,2,0.043103448275862,0.1041666666666666
manifoldcf,77,64,30,1041,0.0125844706906347,1,22,15.454545454545457,3,0.0606060606060606,12,0.0952380952380952,2,80,1.0625,42.5,0.53125,manifoldcf,21,2,0.0363636363636363,0.0892857142857142
manifoldcf,77,64,30,1041,0.0125844706906347,1,28,18.0,3,0.0880952380952381,16,0.0767195767195767,3,154,1.0649350649350648,54.666666666666664,0.354978354978355,manifoldcf,22,2,0.0763052208835341,0.1764705882352941
manifoldcf,77,64,30,1041,0.0125844706906347,1,42,36.76190476190476,1,0.0643578643578643,42,0.0615563298490127,3,325,1.083076923076923,117.33333333333331,0.361025641025641,manifoldcf,23,3,0.2383720930232558,0.1707317073170731
manifoldcf,77,64,30,1041,0.0125844706906347,1,24,43.666666666666664,2,0.0,14,0.1195652173913043,2,113,1.1327433628318584,64.0,0.5663716814159292,manifoldcf,24,2,0.18125,0.1976744186046511
manifoldcf,77,64,30,1041,0.0125844706906347,1,34,14.235294117647058,1,0.0791855203619909,34,0.0730837789661319,3,70,1.1857142857142855,27.666666666666668,0.3952380952380952,manifoldcf,25,3,0.1469194312796208,0.2432432432432432
manifoldcf,77,64,30,1041,0.0125844706906347,1,35,19.542857142857144,2,0.1215873015873015,24,0.0655462184873949,4,73,1.2602739726027397,23.0,0.3150684931506849,manifoldcf,26,3,0.2,0.1875
manifoldcf,77,64,30,1041,0.0125844706906347,1,33,23.636363636363637,4,0.1636141636141636,16,0.0700757575757575,2,40,1.0,20.0,0.5,manifoldcf,27,1,0.0833333333333333,0.2105263157894736
twill,69,70,30,1039,0.012560293033208,1,3,6.666666666666667,1,1.0,3,1.0,1,238,1.0,238.0,1.0,twill,0,0,0.0,0.0
twill,69,70,30,1039,0.012560293033208,1,9,20.444444444444443,1,0.4761904761904761,9,0.3888888888888889,2,366,1.0081967213114753,184.5,0.5040983606557377,twill,1,2,0.3920922570016474,0.1176470588235294
twill,69,70,30,1039,0.012560293033208,1,11,14.181818181818182,1,0.3653679653679653,11,0.2909090909090909,5,153,1.091503267973856,33.4,0.2183006535947712,twill,2,3,0.2462686567164179,0.3
twill,69,70,30,1039,0.012560293033208,1,10,9.2,2,0.1266666666666666,8,0.2,3,29,1.0344827586206895,10.0,0.3448275862068966,twill,3,2,0.0406091370558375,0.2
twill,69,70,30,1039,0.012560293033208,1,10,12.8,1,0.1233333333333333,10,0.2222222222222222,2,28,1.0,14.0,0.5,twill,4,1,0.0172413793103448,0.1578947368421052
